,Agent,Address,Price,Type,No. Bedroom,No. Bathroom,No. Carpark,Land area
1668,Stone Real Estate - Illawarra,"171 Church Street, Wollongong","Price Guide $799,000 - $850,000",House,3 bedrooms,1 bathroom,1 parking space,496 m² land size
1669,LJ Hooker - East Gosford,"26 Fragar Avenue, Wyoming",New To Market,House,4 bedrooms,2 bathrooms,3 parking spaces,620 m² land size
1670,Upstate - Dee Why,"5/24 Jenkins Street, Collaroy","For Sale $679,000",Unit,2 bedrooms,1 bathroom,1 parking space,66 m² building size
1671,Cunninghams Real Estate,"2/66 Lynwood Avenue, Cromer",Price on Request,Apartment,2 bedrooms,2 bathrooms,2 parking spaces,N/A
1672,Professionals Coolangatta - Tweed Heads,"8 Russell Way, Tweed Heads South","$595,000 - $625,000",House,4 bedrooms,2 bathrooms,2 parking spaces,600 m² land size
1673,Bobb Corp Real Estate - Merrylands,"147 Fowler road, Merrylands","price guide $760,000 to $785,000",House,3 bedrooms,1 bathroom,4 parking spaces,550 m² land size
1674,MMJ South - Windang,"4/13 Bank Street, Wollongong","$539,000",Townhouse,2 bedrooms,1 bathroom,1 parking space,N/A
1675,One Agency Country Living,"135B BTU Road, Nowra Hill",Expressions of Interest,House,4 bedrooms,2 bathrooms,4 parking spaces,5 ha land size
1676,Illawarra Estate Agents - WOLLONGONG,"21 Boronia Avenue, Windang","$780,000-$820,000",House,4 bedrooms,2 bathrooms,2 parking spaces,612 m² land size
1677,Raine & Horne  - Port Macquarie  ,"54 Brierley Avenue, Port Macquarie","$499,000",House,3 bedrooms,2 bathrooms,2 parking spaces,422 m² land size
1678,Raine & Horne Forestville - Frenchs Forest,"21/691-695 Warringah Road, Forestville",UNDER CONTRACT,Apartment,2 bedrooms,2 bathrooms,1 parking space,N/A
1679,Century 21 - Specialist Realty,"9/42-48B West Street, Hurstville","$650,000",Apartment,2 bedrooms,1 bathroom,1 parking space,N/A
1680,Raine & Horne - Baulkham Hills,"14/26 East Parade, Eastwood","FOR SALE $600,000 - $630,000",Unit,2 bedrooms,1 bathroom,1 parking space,N/A
1681,First National Byron -   ,"38 Myocum Downs Drive, Myocum","$1,600,000 to $1,750,000",House,4 bedrooms,3 bathrooms,3 parking spaces,4.05 ha land size
1682,The Property Market - Central Coast,"16 Halwin Close, Wyee Point","Price Guide $850,000",House,4 bedrooms,3 bathrooms,2 parking spaces,648 m² land size
1683,Forster Keys Real Estate - Forster,"49 Victor Avenue, Forster","$920,000",House,3 bedrooms,2 bathrooms,2 parking spaces,626 m² land size
1684,Ray White Jindabyne - JINDABYNE,"1/11 Cobbodah Street, Jindabyne","$639,000",Townhouse,3 bedrooms,2 bathrooms,3 parking spaces,N/A
1685,Gavan Property - SOUTH HURSTVILLE,"16 Read Street, Blakehurst",For Sale By Negotiation,House,3 bedrooms,2 bathrooms,2 parking spaces,575 m² land size
1686,Stone Real Estate - Hunter Valley,"1896 Old Maitland Road, Cessnock","$660,000 - $690,000",House,3 bedrooms,3 bathrooms,2 parking spaces,2.01 ha land size
1687,Bob Berry Real Estate - Dubbo,"4 Colony Crescent, Dubbo","$675,000",House,4 bedrooms,2 bathrooms,3 parking spaces,0.42 ha land size
1688,Bob Berry Real Estate - Dubbo,"7 Tweed Place, Dubbo","$590,000 - $620,000",House,5 bedrooms,2 bathrooms,2 parking spaces,664 m² land size
1689,The Avenue Real Estate Agency,"17 Magrath Street, Kellyville","Huge Rental Return | $5,099 a Month!",House,4 bedrooms,2 bathrooms,2 parking spaces,480 m² land size
1690,Real Estate of Distinction - Sawtell,"123-125 Featherstones Road, Woolgoolga","$3,495,000",Acreage,5 bedrooms,3 bathrooms,7 parking spaces,70.7 ha land size
1691,Ray White - Berry,"225 Croziers Road, Berry","$2,300,000",House,3 bedrooms,1 bathroom,2 parking spaces,N/A
1692,Ray White - Gerringong,"18 / 128 Belinda Street, Gerringong","$750,000",Unit,2 bedrooms,2 bathrooms,1 parking space,101.75 m² building size
1693,Byron Bay LJ Hooker - Byron Bay,"1/67-71 Shirley Street, Byron Bay",Contact Agents,House,5 bedrooms,3 bathrooms,2 parking spaces,546 m² land size
1694,LJ Hooker - Baulkham Hills,"Address available on request, Wentworthville","$590,000",Apartment,2 bedrooms,2 bathrooms,1 parking space,N/A
1695,Parnell Partners,"12 Charleroi Road, Belrose",Auction,House,4 bedrooms,2 bathrooms,2 parking spaces,696 m² land size
1696,Upstate - Dee Why,"6/1470 Pittwater Road, Narrabeen",Auction,Apartment,3 bedrooms,2 bathrooms,1 parking space,135 m² building size
1697,Chapman Real Estate - Springwood,"38 Glenelgin Road, Winmalee","$620,000 - $650,000",House,3 bedrooms,2 bathrooms,2 parking spaces,"1,281 m² land size"
1698,Tracy Roberts Real Estate - Wentworthville,"2/42 Girraween Road, Girraween","$534,950",Villa,2 bedrooms,1 bathroom,1 parking space,N/A
1699,LJ Hooker - Cabramatta  ,"17 Ward Place, Hinchinbrook","$679,000 - $700,000",House,3 bedrooms,1 bathroom,1 parking space,565 m² land size
1700,Walsh & Sullivan First National - Baulkham Hills,"16 Nobel Place, Winston Hills",Contact Agent,House,3 bedrooms,1 bathroom,1 parking space,740 m² land size
1701,Richardson & Wrench - INGLEBURN,"15 Lord Castlereagh Circuit, Macquarie Links","$1,050,000 - $1,150,000",House,4 bedrooms,2 bathrooms,2 parking spaces,700 m² land size
1702,Century 21 - Joseph Tan Real Estate,"2 Paradise Close, Cherrybrook",Express Sale,House,5 bedrooms,3 bathrooms,3 parking spaces,850.9 m² land size
1703,Century 21 McLeods - Broken Hill,"8 Albert Morris Avenue, Broken Hill","$425,000",House,4 bedrooms,2 bathrooms,5 parking spaces,759 m² land size
1704,LJ Hooker - Oran Park,"Lot 93, 29 Jones Street, Oran Park","$529,000",Residential Land,0,0,0,505.5 m² land size
1705,Jim Aitken & Partners - Emu Plains,"6A/9-19 York Road, Jamisontown","$349,000 - $379,000",Unit,2 bedrooms,1 bathroom,1 parking space,N/A
1706,"United Realty - Acreage, Residential, Prestige ","20 Steveys Forest Road, Oakdale","$475,000 to $520,000",House,3 bedrooms,1 bathroom,1 parking space,815.7 m² land size
1707,True Property,"67 Young Street, Annandale",Auction Guide Upon Request,House,3 bedrooms,3 bathrooms,1 parking space,115 m² land size
1708,LJ Hooker - Baulkham Hills,"Apartment 4/50 Nijong Drive, Pemulwuy",Expressions of Interest,House,2 bedrooms,2 bathrooms,1 parking space,N/A
1709,MMJ Wollongong,"2/33 Cachia Boulevard, Horsley","$549,000",Villa,3 bedrooms,1 bathroom,2 parking spaces,N/A
1710,Century 21 - Seiwa,"155 Ashley Street, Roseville","$2,700,000 to $2,800,000",House,4 bedrooms,2 bathrooms,2 parking spaces,556 m² land size
1711,Castlehaven Realtors - Castle Hill,"G01/16-20 Withers Road, Kellyville","$700,000",Apartment,2 bedrooms,2 bathrooms,2 parking spaces,N/A
1712,Upstate - Dee Why,"16/55 Wyuna Avenue, Freshwater",Auction,Unit,2 bedrooms,1 bathroom,1 parking space,89.9 m² building size
1713,Chapman Real Estate - Springwood,"104 Lee Road, Winmalee","$690,000 - $740,000",House,4 bedrooms,2 bathrooms,3 parking spaces,737.5 m² land size
1714,Ray White - Swan Hill,"116 Eagles Lane, Koraleigh","$179,000",House,2 bedrooms,1 bathroom,1 parking space,N/A
1715,Ray White - Menai,"5 Blackthorn Circuit, Menai",Auction Unless Sold Prior,House,4 bedrooms,2 bathrooms,2 parking spaces,N/A
1716,Langlands Property - Coffs Harbour,"8 Alkina St, Sapphire Beach","$599,000 - $649,000",House,3 bedrooms,2 bathrooms,2 parking spaces,778 m² land size
1717,Mantra Group - Surfers Paradise,"7302 ""Mantra on Salt Beach"" 9 Gunnamatta Avenue, Kingscliff","$255,000",Apartment,1 bedroom,1 bathroom,1 parking space,85 m² building size
1718,Century 21 McLeods - Broken Hill,"680 Blende Street, Broken Hill","$350,000",House,4 bedrooms,2 bathrooms,3 parking spaces,"1,012 m² land size"
1719,NSW Real Estate - Coffs Harbour,"29 Jane Circuit, Toormina","$489,000",House,4 bedrooms,2 bathrooms,1 parking space,750.9 m² land size
1720,Orange Real Estate - Orange,"19 Hughes Street, Orange","$449,000",House,4 bedrooms,2 bathrooms,2 parking spaces,596 m² land size
1721,Purplebricks  - New South Wales ,"8/123 Lindesay Street, Campbelltown","$470,000 - $495,000",Townhouse,3 bedrooms,1 bathroom,1 parking space,116 m² building size
1722,Cripps & Cripps Property - Cronulla,"35 Milford Road, Miranda","$1,189,000",House,3 bedrooms,1 bathroom,1 parking space,550 m² land size
1723,Phillips Pantzer Donnelley - WOOLLAHRA,"438/58 Cook Road, Centennial Park",Contact Agent,Apartment,1 bedroom,1 bathroom,0,N/A
1724,First National Hills Direct - The Ponds ,"81 Dongola Circuit, Schofields",Just Listed,House,3 bedrooms,1 bathroom,1 parking space,516.3 m² land size
1725,Cobden & Hayson - Drummoyne,"15/12 West Street, Croydon",Asking Price - $529k,Apartment,1 bedroom,1 bathroom,1 parking space,N/A
1726,Real Equity Estate Agents - CHIPPING NORTON,"83a Flowerdale Road, Liverpool","$749,000 - $769,000",Duplex/Semi-detached,4 bedrooms,2 bathrooms,2 parking spaces,N/A
1727,Elders Real Estate - Port Macquarie,"23 The Point Drive, Port Macquarie","Auction 17th February, Rydges Hotel at 6pm",House,5 bedrooms,2 bathrooms,2 parking spaces,769 m² land size
1728,Century 21 McLeods - Broken Hill,"12 Crystal Street, Broken Hill","$140,000",House,3 bedrooms,1 bathroom,2 parking spaces,506 m² land size
1729,Real Estate of Distinction - Sawtell,"5/71 Hood Street, Coffs Harbour","$4,250,000",House,4 bedrooms,3 bathrooms,3 parking spaces,537 m² building size
1730,Real Estate of Distinction - Sawtell,"107 Tuckers Rock Road, Repton","Wow! Only $665,000",House,4 bedrooms,2 bathrooms,3 parking spaces,N/A
1731,Drake Real Estate - Narrabeen,"33/20 Waterloo Street, Narrabeen","$630,000",Unit,1 bedroom,2 bathrooms,1 parking space,N/A
1732,MacCallum Inglis - Scone,"30 Kookaburra Avenue, Scone","$575,000",House,4 bedrooms,2 bathrooms,5 parking spaces,N/A
1733,Tracy Yap Realty - Epping,"23 Willow Close, Epping","$1,375,000 to $1,450,000",House,4 bedrooms,1 bathroom,2 parking spaces,N/A
1734,First National Altitude - WARNERS BAY,"17 Hibiscus Close, Speers Point","$700,000 - $770,000",House,4 bedrooms,3 bathrooms,2 parking spaces,"1,081 m² land size"
1735,First National Altitude - WARNERS BAY,"17/247 Warners Bay Road, Mount Hutton","$400,000 - $430,000",Townhouse,2 bedrooms,1 bathroom,1 parking space,161 m² land size
1736,The Agency - North,"14 Redgrave Road, Normanhurst","$1,690,000 - $1,750,000",House,5 bedrooms,3 bathrooms,2 parking spaces,701 m² land size
1737,McGrath - Ballina,"4/7 Skinner Street, Ballina","$650,000 - $690,000",Unit,3 bedrooms,2 bathrooms,1 parking space,N/A
1738,Starr Partners - Blacktown,"23 Brickfield Place, Blacktown","Price Guide: $699,950",House,3 bedrooms,1 bathroom,1 parking space,425 m² land size
1739,Burke & Smyth Real Estate - Tamworth,"14 Illawarra Place, Tamworth","$469,000",House,4 bedrooms,2 bathrooms,2 parking spaces,974 m² land size
1740,First National Altitude - WARNERS BAY,"110 Andrew Road, Valentine","$630,000 - $690,000",House,4 bedrooms,2 bathrooms,2 parking spaces,"1,309 m² land size"
1741,First National Altitude - WARNERS BAY,"10 Waterview Road, Cardiff South","$500,000 - $550,000",House,3 bedrooms,2 bathrooms,2 parking spaces,467 m² land size
1742,First National Altitude - WARNERS BAY,"2/90 Bayview Street, Warners Bay","$275,000 - $300,000",Unit,2 bedrooms,1 bathroom,1 parking space,N/A
1743,South Side Real Estate  - Engadine  ,"69 Fairview avenue, Engadine","For Sale $900,000",House,5 bedrooms,2 bathrooms,2 parking spaces,575 m² land size
1744,Phillips Pantzer Donnelley - WOOLLAHRA,"86-88 St James Road, Bondi Junction",Auction 13 February,House,4 bedrooms,3 bathrooms,1 parking space,N/A
1745,First National Altitude - WARNERS BAY,"24 Melton Place, Croudace Bay","$595,000 - $620,000",House,4 bedrooms,1 bathroom,1 parking space,575 m² land size
1746,McGrath - Long Jetty,"39 Laguna Parade, Berkeley Vale","$649,000 - $689,000",House,4 bedrooms,1 bathroom,3 parking spaces,N/A
1747,The Agency  - Hunter Valley,"12B Justine Parade, Rutherford","$385,000",House,3 bedrooms,1 bathroom,1 parking space,524.7 m² land size
1748,Wiseberry - Wyong,"Address available on request, Blue Haven","$580,000 - $630,000",House,4 bedrooms,2 bathrooms,2 parking spaces,650 m² land size
1749,First National Coast and Country,"30 Hothersal Street, Kiama",Contact Agent  //  Terry Digger,House,5 bedrooms,2 bathrooms,2 parking spaces,658 m² land size
1750,PRDnationwide - Port Stephens,"505/43 Shoal Bay Road, Shoal Bay","$395,000",Apartment,2 bedrooms,2 bathrooms,1 parking space,120 m² building size
1751,First National Coast and Country,"3/22 Bland Street, Kiama","$550,000 - $600,000  //  Terry Digger",Townhouse,3 bedrooms,1 bathroom,1 parking space,N/A
1752,First National Coast and Country,"4 Downes Place, Jamberoo","$1,050,000 - $1,080,000  //  David Hall",House,4 bedrooms,3 bathrooms,2 parking spaces,800 m² land size
1753,McGrath - Blacktown ,"Lot 15, 16 & 17 Campbell Street, Riverstone",Expressions of interest,Residential Land,0,0,0,N/A
1754,McGrath Estate Agents - Sawtell,"335 Crossmaglen Road, Bonville","$795,000",House,2 bedrooms,1 bathroom,2 parking spaces,2 ha land size
1755,McGrath - Manly,"30 Golf Parade, Manly",Contact Agent,House,3 bedrooms,2 bathrooms,2 parking spaces,N/A
1756,McGrath - Castle Hill,"20 Springthorpe Way, Castle Hill",Expressions of interest,House,5 bedrooms,4 bathrooms,3 parking spaces,700 m² land size
1757,McGrath - Terrigal,"87 Mistview Circuit, Forresters Beach","$500,000 - $550,000",Residential Land,0,0,0,551 m² land size
1758,Ray White - Parramatta/Oatlands/Northmead/Greystanes,"106A/8 Cowper Street, Parramatta","$695,000",Apartment,2 bedrooms,2 bathrooms,1 parking space,N/A
1759,Roger Mickhail Property - Drummoyne,"11/23 Bay Road, Russell Lea",Forthcoming Auction,Apartment,3 bedrooms,2 bathrooms,2 parking spaces,103 m² building size
1760,Ray White - Parramatta/Oatlands/Northmead/Greystanes,"105/24-28 Mons Road, Westmead",AUCTION UNLESS SOLD PRIOR,Apartment,2 bedrooms,2 bathrooms,1 parking space,N/A
1761,Century 21 Bianca and Neil Brown -   ,"93 Pritchard St, Wentworth Falls","$535,000 to $585,000",House,3 bedrooms,1 bathroom,1 parking space,624 m² land size
1762,Community First Real Estate - Liverpool,"5 Celebration Road, Sadleir","Price Guide $580,000 - $638,000",House,3 bedrooms,1 bathroom,1 parking space,N/A
1763,Ray White - Colyton,"12 Arnold Avenue, St Marys","$600,000-$650,000",House,3 bedrooms,1 bathroom,4 parking spaces,601.1 m² land size
1764,Soames Real Estate - Northern Districts,"15 Bridgeview Crescent, Thornleigh",Auction on site unless sold prior,House,4 bedrooms,2 bathrooms,1 parking space,N/A
1765,One Agency Maday Property - Bowral ,"Address available on request, Bowral","Sale Range $860,000 - $925,000",House,4 bedrooms,2 bathrooms,2 parking spaces,803 m² land size
1766,One Agency Elite Property Group - ALBION PARK,"302/48 - 50 Kembla Street, North Wollongong","$759,000",Apartment,2 bedrooms,2 bathrooms,1 parking space,109 m² building size
1767,Merrick Property Group - Penrith ,"9 Moril Avenue, Mount Riverview","$1,200,000",House,5 bedrooms,3 bathrooms,3 parking spaces,"2,390 m² land size"
1768,Merrick Property Group - Penrith ,"30 Cascade Road, Cranebrook","$799,000 to $839,000",House,3 bedrooms,2 bathrooms,3 parking spaces,721 m² land size
1769,Merrick Property Group - Penrith ,"10 Islington Street, Cranebrook","$590,000 to $610,000",House,3 bedrooms,1 bathroom,1 parking space,623 m² land size
1770,Ray White - Pennant Hills,"2 New Farm Road, West Pennant Hills","Auction, unless sold prior",House,3 bedrooms,2 bathrooms,2 parking spaces,617 m² land size
1771,One Agency Elite Property Group - ALBION PARK,"501/48 - 50 Kembla Street, North Wollongong","$1,049,000",Apartment,3 bedrooms,2 bathrooms,1 parking space,161 m² building size
1772,One Agency Elite Property Group - ALBION PARK,"701/ 48 - 50 Kembla Street, North Wollongong","$1,049,000",Apartment,3 bedrooms,2 bathrooms,1 parking space,137 m² building size
1773,Stone Real Estate - Copacabana,"16 Ladera Drive, Copacabana","$859,000",House,5 bedrooms,2 bathrooms,2 parking spaces,506 m² land size
1774,Belle Property Killcare - HARDYS BAY,"3/25 Bream Road, Ettalong Beach",New to Market,House,3 bedrooms,2 bathrooms,1 parking space,249 m² land size
1775,Belle Property - Charlestown,"12 Gosforth Grove, Lakelands",Price on request,House,6 bedrooms,3 bathrooms,5 parking spaces,"1,054 m² land size"
1776,Gittoes - East Gosford,"445/80 John Whiteway Drive, Gosford","$395,000-$430,000",Unit,2 bedrooms,2 bathrooms,1 parking space,93 m² building size
1777,The Agency - Illawarra,"18 Church Street, Balgownie","Guide $850,000",House,4 bedrooms,2 bathrooms,2 parking spaces,809 m² land size
1778,Upstate - Dee Why,"19/90 Howard Avenue, Dee Why","Asking Price $849,000",Apartment,2 bedrooms,1 bathroom,1 parking space,112 m² building size
1779,Ray White - Helensburgh,"66 The Crescent, Helensburgh",Auction unless sold prior,House,3 bedrooms,1 bathroom,2 parking spaces,N/A
1780,Ray White - Parramatta/Oatlands/Northmead/Greystanes,"5/24-26 Inkerman Street, Granville",Expressions of Interest,Unit,2 bedrooms,1 bathroom,1 parking space,115 m² building size
1781,Ray White - Albion Park,"4/114 Burdekin Drive, Albion Park","$469,000",Villa,3 bedrooms,1 bathroom,1 parking space,N/A
1782,Ray White Taylor and Partners - DARLINGHURST   ,"14/7 Bellevue Park Road, Bellevue Hill","Buyers Guide $1,050,000",Apartment,2 bedrooms,1 bathroom,1 parking space,73 m² building size
1783,Bresic Whitney Estate Agents -  Hunters Hill,"7/144 Ryde Road, Gladesville","Buyers guide $1,150,000",Townhouse,3 bedrooms,2 bathrooms,2 parking spaces,149 m² building size
1784,Cutcliffe Properties - MULGRAVE,"Address available on request, Vineyard","$2,990,000",Acreage,3 bedrooms,1 bathroom,0,2.02 ha land size
1785,Jurd's Real Estate - Cessnock,"210 Mathieson Street, Bellbird Heights","$349,000",House,3 bedrooms,1 bathroom,2 parking spaces,596.7 m² land size
1786,Louis Carr Real Estate - West Pennant Hills | Cherrybrook,"91 Bellamy Street, Pennant Hills",Auction (unless sold prior),House,3 bedrooms,1 bathroom,1 parking space,502 m² land size
1787,Stone Real Estate - Newcastle,"22 Burwood Street, Kahibah","$740,000 - $795,000",House,3 bedrooms,2 bathrooms,2 parking spaces,446 m² land size
1788,Ray White - Picton,"16 Lumsdaine Street, Picton","Price Range $950,000 - $989,000",House,4 bedrooms,2 bathrooms,2 parking spaces,"1,075 m² land size"
1789,Purplebricks  - New South Wales ,"30 Voyager Street, Gregory Hills",For Sale - Offers invited!,House,4 bedrooms,2 bathrooms,2 parking spaces,380 m² land size
1790,Clarke National REALTY - Revesby,"3 Dernancourt Parade, Milperra","$849,000",House,3 bedrooms,1 bathroom,2 parking spaces,562 m² land size
1791,Location Real Estate Sales & Consulting,"22b David Avenue, Caringbah South",For Sale,Duplex/Semi-detached,5 bedrooms,3 bathrooms,2 parking spaces,N/A
1792,One Agency Downie & Denison-Pender - THIRROUL,"90 Forestview Way, Woonona","Price guide $1,250,000 - $1,350,000",House,4 bedrooms,2 bathrooms,2 parking spaces,451 m² land size
